wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
dug,gwd,gaww1239,Dullay (Gollango),5.5,37.25,Eastern Cushitic,Afro-Asiatic,Cushitic
duk,dud,huns1239,Duka,11.1666666667,5.08333333333,Kainji,Niger-Congo,Benue-Congo
dul,duu,drun1238,Dulong,28.0,98.3333333333,Nungish,Sino-Tibetan,Tibeto-Burman
dum,vam,vani1248,Dumo,-2.68333333333,141.3,Western Skou,Skou,__
dun,duc,duna1248,Duna,-5.5,142.5,Duna,Trans-New Guinea,__
dut,nld,dutc1256,Dutch,52.5,6.0,Germanic,Indo-European,__
duz,zea,zeeu1238,Dutch (Zeeuws),51.5,3.75,Germanic,Indo-European,__
dyi,dbl,dyir1250,Dyirbal,-17.8333333333,145.583333333,Pama-Nyungan,Australian,__
dym,dyi,djim1235,Dyimini,8.41666666667,-4.41666666667,Gur,Niger-Congo,__
dyu,dyu,dyul1238,Dyula,9.83333333333,-4.66666666667,Western Mande,Niger-Congo,Mande
ebi,igb,ebir1243,Ebira,8.16666666667,7.0,Nupoid,Niger-Congo,Benue-Congo
edo,etr,edol1239,Edolo,-6.16666666667,142.666666667,Bosavi,Bosavi,__
efi,efi,efik1245,Efik,4.91666666667,8.5,Cross River,Niger-Congo,Benue-Congo
ega,ega,egaa1242,Ega,5.5,-5.5,Kwa,Niger-Congo,__
egn,enn,enge1239,Engenni,5.16666666667,6.38333333333,Edoid,Niger-Congo,Benue-Congo
eip,eip,eipo1242,Eipo,-4.33333333333,140.083333333,Mek,Trans-New Guinea,__
eja,etu,ejag1239,Ejagham,5.41666666667,8.66666666667,Bantoid,Niger-Congo,Benue-Congo
eka,ekg,ekar1243,Ekari,-3.83333333333,135.5,Wissel Lakes-Kemandoga,Trans-New Guinea,__
eko,eko,koti1238,Ekoti,-16.5,39.5,Bantoid,Niger-Congo,Benue-Congo
els,mrf,else1239,Elseng,-3.0,140.5,Morwap,Morwap,__
emb,emp,nort2972,Emberá (Northern),6.83333333333,-77.1666666667,Choco,Choco,__
emc,cmi,embe1262,Embera Chami,5.0,-76.0,Choco,Choco,__
eme,eme,emer1243,Émérillon,3.16666666667,-52.4166666667,Tupi-Guaraní,Tupian,__
eml,emb,emba1238,Embaloh,1.16666666667,112.333333333,South Sulawesi,Austronesian,__
emm,amy,amii1238,Emmi,-13.5,130.0,Western Daly,Australian,Daly
ena,enq,enga1252,Enga,-5.5,143.666666667,Engan,Trans-New Guinea,__
ene,enf,enet1250,Enets,67.5,86.5,Samoyedic,Uralic,__
eng,eng,stan1293,English,52.0,0.0,Germanic,Indo-European,__
eno,eno,engg1245,Enggano,-5.41666666667,102.25,Enggano,Austronesian,__
eny,gey,enya1247,Enya,-0.5,25.25,Bantoid,Niger-Congo,Benue-Congo
epe,sja,epen1239,Epena Pedee,3.0,-77.0,Choco,Choco,__
erk,erk,sout2856,Efate (South),-17.75,168.416666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
err,erg,siee1239,Erromangan,-18.8333333333,169.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
ese,ese,esee1248,Ese Ejja,-11.0,-66.0,Tacanan,Tacanan,__
esm,_13,atac1235,Esmeraldeño,0.333333333333,-79.8333333333,Tacame,Tacame,__
ess,esq,esse1238,Esselen,36.25,-121.75,Esselen,Esselen,__
est,est,esto1258,Estonian,59.0,26.0,Finnic,Uralic,Finno-Ugric
ets,ets,yekh1238,Etsako,7.25,6.5,Edoid,Niger-Congo,Benue-Congo
eud,opt,opat1246,Eudeve,29.1666666667,-109.666666667,Cahita,Uto-Aztecan,__
eve,evn,even1259,Evenki,56.0,125.0,Tungusic,Altaic,__
evn,eve,even1260,Even,68.0,130.0,Tungusic,Altaic,__
ewa,ewe,ewee1241,Ewe (Anglo),6.0,1.0,Kwa,Niger-Congo,__
ewe,ewe,ewee1241,Ewe,6.33333333333,0.416666666667,Kwa,Niger-Congo,__
ewo,ewo,ewon1239,Ewondo,4.0,12.0,Bantoid,Niger-Congo,Benue-Congo
eya,eya,eyak1241,Eyak,60.5,-145.0,Eyak,Na-Dene,__
far,fao,faro1244,Faroese,62.0,-7.0,Germanic,Indo-European,__
fas,faa,fasu1242,Fasu,-6.58333333333,143.333333333,Fasu,Trans-New Guinea,__
fbf,fuh,west2454,Fula (Burkina Faso),14.0,0.0,Northern Atlantic,Niger-Congo,Atlantic
fea,frs,east2288,Frisian (Eastern),53.5833333333,7.5,Germanic,Indo-European,__
fef,fmp,fefe1239,Fe'fe',5.25,10.1666666667,Bantoid,Niger-Congo,Benue-Congo
fgo,fub,adam1253,Fulani (Gombe),10.25,11.25,Northern Atlantic,Niger-Congo,Atlantic
fgu,fuf,pula1262,Fula (Guinean),11.5,-12.5,Northern Atlantic,Niger-Congo,Atlantic
fij,fij,fiji1243,Fijian,-17.8333333333,178.0,Oceanic,Austronesian,Eastern Malayo-Polynesian
fin,fin,finn1318,Finnish,62.0,25.0,Finnic,Uralic,Finno-Ugric
fio,kng,koon1244,Fiote,-5.5,14.0,Bantoid,Niger-Congo,Benue-Congo
fiw,wyy,west2519,Fijian (Wayan),-17.0,177.3,Oceanic,Austronesian,Eastern Malayo-Polynesian
fli,fuh,west2454,Ful (Liptako),13.5,0.5,Northern Atlantic,Niger-Congo,Atlantic
fma,fuc,pula1263,Fula (Mauritanian),16.5,-13.75,Northern Atlantic,Niger-Congo,Atlantic
fni,fuv,nige1253,Fula (Nigerian),8.16666666667,10.5,Northern Atlantic,Niger-Congo,Atlantic
fno,frr,nort2626,Frisian (North),54.5,9.0,Germanic,Indo-European,__
foe,foi,foii1241,Foe,-6.5,143.5,Kutubuan,Trans-New Guinea,__
fon,fon,fonn1241,Fongbe,6.41666666667,2.16666666667,Kwa,Niger-Congo,__
for,for,fore1270,Fore,-6.75,145.5,Eastern Highlands,Trans-New Guinea,__
fox,sac,mesk1242,Fox,43.0,-83.0,Algonquian,Algic,__
fqs,fqs,fass1245,Momu,-3.0,141.583333333,Fas,Kwomtari-Baibai,__
frd,frd,ford1242,Fordata,-6.75,131.5,Central Malayo-Polynesian,Austronesian,__
fre,fra,stan1290,French,48.0,2.0,Romance,Indo-European,__
fri,frs,east2288,Frisian,53.0,5.0,Germanic,Indo-European,__
frw,fry,west2354,Frisian (Western),53.0,6.0,Germanic,Indo-European,__
fsl,fse,finn1310,Finnish Sign Language,62.0,26.0,Sign Languages,other,__
fua,fub,adam1253,Fula (Cameroonian),9.16666666667,13.5,Northern Atlantic,Niger-Congo,Atlantic
fue,fud,east2447,Futuna (East),-14.3333333333,-178.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
ful,fun,fuln1247,Fulniô,-8.0,-37.5,Yatê,Macro-Ge,__
fum,ffm,maas1239,Fulfulde (Maasina),15.0,-5.0,Northern Atlantic,Niger-Congo,Atlantic
fur,fvr,furr1244,Fur,13.5,25.0,Fur,Nilo-Saharan,__
fus,fuc,pula1263,Fula (Senegal),15.0,-14.0,Northern Atlantic,Niger-Congo,Atlantic
fut,fut,futu1245,Futuna-Aniwa,-19.5333333333,170.216666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
fuz,cdo,mind1253,Fuzhou,26.0,119.5,Chinese,Sino-Tibetan,__
fye,pym,fyam1238,Fyem,9.58333333333,9.33333333333,Platoid,Niger-Congo,Benue-Congo
ga,gaa,gaaa1244,Gã,5.66666666667,-0.166666666667,Kwa,Niger-Congo,__
gaa,gbu,gaga1251,Gaagudju,-12.5833333333,132.833333333,Gaagudju,Australian,__
gad,ged,gade1242,Gade,8.66666666667,7.41666666667,Nupoid,Niger-Congo,Benue-Congo
gae,gla,scot1245,Gaelic (Scots),57.0,-4.0,Celtic,Indo-European,__
gag,gag,gaga1249,Gagauz,46.3333333333,28.6666666667,Turkic,Altaic,__
gah,gah,alek1238,Gahuku,-6.0,145.416666667,Eastern Highlands,Trans-New Guinea,__
gal,adi,damu1236,Galo,28.1666666667,94.6666666667,Tani,Sino-Tibetan,Tibeto-Burman
gam,gmo,gamo1244,Gamo,6.66666666667,37.25,North Omotic,Afro-Asiatic,Omotic
gan,apq,apuc1241,Great Andamanese,12.0,92.6666666667,Great Andamanese,Great Andamanese,__
gap,pwg,gapa1238,Gapapaiwa,-9.75,149.833333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
gar,grt,garo1247,Garo,25.6666666667,90.5,Bodo-Garo,Sino-Tibetan,Tibeto-Burman
gau,bar,bava1246,German (Upper Austrian),47.0,14.0,Germanic,Indo-European,__
gav,gvo,gavi1246,Gavião,-10.6666666667,-62.0,Monde,Tupian,__
gay,gay,gayo1244,Gayo,4.5,97.5,Northwest Sumatra-Barrier Islands,Austronesian,__
gba,bar,bava1246,German (Bavarian),49.0,11.5,Germanic,Indo-European,__
gbb,gbp,gbay1287,Gbeya Bossangoa,6.66666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,Adamawa-Ubangi
gbc,pov,uppe1455,Guinea Bissau Crioulo,12.0,-15.0,Creoles and Pidgins,other,__
gbe,gsw,swis1247,German (Bern),47.0,7.41666666667,Germanic,Indo-European,__
gbk,gya,nort2775,Gbaya Kara,6.0,15.0,Gbaya-Manza-Ngbaka,Niger-Congo,Adamawa-Ubangi
gbl,deu,stan1295,German (Berlin),52.5,13.3333333333,Germanic,Indo-European,__
gcy,ell,mode1248,Greek (Cypriot),34.75,33.0,Greek,Indo-European,__
gdb,gbj,bodo1267,Gutob,19.0,83.6666666667,Munda,Austro-Asiatic,__
gdf,gdf,gudu1252,Guduf,11.2333333333,13.8,Biu-Mandara,Afro-Asiatic,Chadic
gdi,god,godi1239,Godié,5.41666666667,-5.83333333333,Kru,Niger-Congo,__
gdk,gdb,pott1240,Gadaba (Kondekor),18.75,83.5,Central Dravidian,Dravidian,__
gdl,gcf,guad1242,Guadeloupe Creole,16.25,-61.5,Creoles and Pidgins,other,__
gdr,gid,gida1247,Gidar,10.0,14.0,Biu-Mandara,Afro-Asiatic,Chadic
gds,gaj,gads1258,Gadsup,-6.25,146.0,Eastern Highlands,Trans-New Guinea,__
gel,nlg,gela1263,Gela,-9.08333333333,160.25,Oceanic,Austronesian,Eastern Malayo-Polynesian
geo,kat,nucl1302,Georgian,42.0,44.0,Kartvelian,Kartvelian,__
ger,deu,stan1295,German,52.0,10.0,Germanic,Indo-European,__
gfr,gcr,guia1246,Guianese French Creole,5.0,-53.0,Creoles and Pidgins,other,__
ggd,ggd,guga1239,Gugadj,-18.5,140.5,Pama-Nyungan,Australian,__
ggu,gnr,gure1255,Gureng Gureng,-25.25,151.0,Pama-Nyungan,Australian,__
gha,deu,stan1295,German (Hannover),52.4166666667,9.66666666667,Germanic,Indo-European,__
ghb,guh,guah1255,Guahibo,5.0,-69.0,Guahiban,Guahiban,__
gho,aaa,ghot1243,Ghotuo,7.08333333333,5.75,Edoid,Niger-Congo,Benue-Congo
ghr,bfu,gahr1239,Gahri,32.5,77.0,Bodic,Sino-Tibetan,Tibeto-Burman
gid,bdy,band1339,Gidabal,-28.4166666667,152.416666667,Pama-Nyungan,Australian,__
gil,glk,gila1241,Gilaki,37.3333333333,50.0,Iranian,Indo-European,__
gim,bcq,benc1235,Gimira,7.0,35.75,North Omotic,Afro-Asiatic,Omotic
gir,glj,gula1265,Gula Iro,10.25,19.4166666667,Adamawa,Niger-Congo,Adamawa-Ubangi
git,git,gitx1241,Gitksan,55.3333333333,-127.75,Tsimshianic,Penutian,__
giz,gis,maro1246,Giziga,10.3333333333,14.1666666667,Biu-Mandara,Afro-Asiatic,Chadic
gji,gue,guri1247,Gurindji,-17.6666666667,130.666666667,Pama-Nyungan,Australian,__
gjj,gub,guaj1255,Guajajara,-5.0,-46.0,Tupi-Guaraní,Tupian,__
gku,pue,puel1244,Gününa Küne,-41.0,-67.0,Puelche,Chon,__
gla,gio,gela1261,Gelao,22.9166666667,105.5,Kadai,Tai-Kadai,__
glc,glg,gali1258,Galician,43.0,-8.0,Romance,Indo-European,__
gll,gbi,gale1259,Galela,2.41666666667,128.333333333,North Halmaheran,West Papuan,__
gln,gvf,goli1247,Golin,-6.33333333333,144.75,Chimbu,Trans-New Guinea,__
glp,dhg,dhan1270,Gaalpu,-12.6666666667,136.75,Pama-Nyungan,Australian,__
gma,deu,stan1295,German (Mansfeldisch),51.5833333333,11.5,Germanic,Indo-European,__
gmb,gum,guam1248,Guambiano,2.5,-76.6666666667,Barbacoan,Barbacoan,__
gml,kld,gami1243,Gamilaraay,-29.8333333333,149.5,Pama-Nyungan,Australian,__
gmt,gnn,guma1253,Gumatj,-12.5,135.5,Pama-Nyungan,Australian,__
gmw,gvs,guma1254,Gumawana,-9.25,150.833333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
gmz,guk,gumu1244,Gumuz,12.5,35.8333333333,Gumuz,Nilo-Saharan,__
gna,gva,guan1268,Guana,-22.0,-58.0,Mascoian,Mascoian,__
gnb,wlg,kunb1251,Gunbalang,-12.0,134.0,Gunwinygic,Australian,Gunwinyguan
gnd,gqa,gaan1243,Ga'anda,10.3333333333,12.5833333333,Biu-Mandara,Afro-Asiatic,Chadic
gnn,gww,kwin1241,Gunin,-14.25,126.666666667,Wororan,Australian,__
gno,gvc,guan1269,Guanano,0.833333333333,-69.5,Tucanoan,Tucanoan,__
gny,gyy,guny1241,Gunya,-26.5,146.5,Pama-Nyungan,Australian,__
goa,guc,wayu1243,Goajiro,12.0,-72.0,Northern Arawakan,Arawakan,__
god,gdo,ghod1238,Godoberi,42.6666666667,46.0833333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
goe,ank,goem1240,Goemai,8.66666666667,9.75,West Chadic,Afro-Asiatic,Chadic
gog,ggw,gogo1265,Gogodala,-8.08333333333,142.833333333,Gogodala,Gogodala-Suki,__
goj,gju,guja1253,Gojri,32.75,76.25,Indic,Indo-European,__
gok,gkn,goka1239,Gokana,4.58333333333,7.33333333333,Cross River,Niger-Congo,Benue-Congo
gol,gol,gola1255,Gola,7.25,-10.8333333333,Mel,Niger-Congo,Atlantic
gon,ggo,sout2711,Gondi,19.0,81.0,South-Central Dravidian,Dravidian,__
goo,gni,goon1238,Gooniyandi,-18.3333333333,126.333333333,Bunuban,Australian,__
gor,gow,goro1270,Gorowa,-4.5,36.5,Southern Cushitic,Afro-Asiatic,Cushitic
gos,gsw,swis1247,German (Ostschweiz),47.4166666667,9.25,Germanic,Indo-European,__
gpz,gsw,swis1247,German (Appenzell),47.3333333333,9.33333333333,Germanic,Indo-European,__
grb,grj,barc1235,Grebo,5.0,-8.0,Kru,Niger-Congo,__
gre,kal,kala1399,Greenlandic (East),65.0,-40.0,Eskimo,Eskimo-Aleut,__
grf,cab,gari1256,Garífuna,15.6666666667,-88.0,Northern Arawakan,Arawakan,__
grg,gge,gura1252,Gurr-goni,-12.25,134.416666667,Burarran,Australian,__
grj,var,huar1255,Guarijío,27.75,-108.666666667,Tarahumaran,Uto-Aztecan,__
grk,ell,mode1248,Greek (Modern),39.0,22.0,Greek,Indo-European,__
grm,gux,gour1243,Gurma,12.25,1.0,Gur,Niger-Congo,__
grn,gur,fare1241,Gurenne,10.8333333333,-0.916666666667,Gur,Niger-Congo,__
gro,goa,guro1248,Guro,7.0,-6.0,Eastern Mande,Niger-Congo,Mande
grp,ksh,kols1241,German (Ripuarian),51.0,7.0,Germanic,Indo-European,__
grr,gbc,gara1261,Garrwa,-17.0833333333,137.166666667,Garrwan,Australian,__
grs,gyb,garu1246,Garus,-4.95,145.666666667,Madang,Trans-New Guinea,__
grt,gor,goro1259,Gorontalo,0.5,122.0,Greater Central Philippine,Austronesian,__
grw,kal,kala1399,Greenlandic (West),64.0,-51.0,Eskimo,Eskimo-Aleut,__
gsl,gss,gree1271,Greek Sign Language,38.5,22.0,Sign Languages,other,__
gso,kal,kala1399,Greenlandic (South),60.0,-44.0,Eskimo,Eskimo-Aleut,__
gtg,gsw,swis1247,German (Thurgau),47.5833333333,9.16666666667,Germanic,Indo-European,__
gth,deu,stan1295,German (Thuringian),51.0,11.0,Germanic,Indo-European,__
gti,deu,stan1295,German (Timisoara),45.75,21.25,Germanic,Indo-European,__
gto,gta,guat1253,Guató,-17.0,-58.0,Guató,Macro-Ge,__
gua,gug,para1311,Guaraní,-26.0,-56.0,Tupi-Guaraní,Tupian,__
gud,gde,gude1246,Gude,10.4166666667,13.4166666667,Biu-Mandara,Afro-Asiatic,Chadic
gue,gxx,guer1240,Guere,6.66666666667,-7.75,Kru,Niger-Congo,__
guf,guf,gupa1247,Gupapuyngu,-12.0,136.0,Pama-Nyungan,Australian,__
gug,ktd,koka1244,Gugada,-30.0,134.0,Pama-Nyungan,Australian,__
guh,ghs,guhu1244,Guhu-Samane,-8.0,147.333333333,Binanderean,Trans-New Guinea,__
guj,guj,guja1252,Gujarati,23.0,72.0,Indic,Indo-European,__
gul,glu,gula1269,Gula (in Central African Republic),9.5,22.5,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic
gum,kgs,kumb1268,Gumbaynggir,-30.1666666667,152.5,Pama-Nyungan,Australian,__
gun,yas,nugu1242,Gunu,4.58333333333,11.25,Bantoid,Niger-Congo,Benue-Congo
guq,_14,cari1279,Guaque,1.0,-72.0833333333,Cariban,Cariban,__
gur,ggn,guru1261,Gurung,28.3333333333,84.3333333333,Bodic,Sino-Tibetan,Tibeto-Burman
gus,guz,gusi1247,Gusii,-0.75,34.8333333333,Bantoid,Niger-Congo,Benue-Congo
gut,gux,gour1243,Gurma (Togo),10.75,0.666666666667,Gur,Niger-Congo,__
guu,kky,gugu1255,Guugu Yimidhirr,-15.0,144.833333333,Pama-Nyungan,Australian,__
guw,guw,gunn1250,Gungbe,6.5,2.5,Kwa,Niger-Congo,__
gvi,bar,bava1246,German (Viennese),48.1666666667,16.3333333333,Germanic,Indo-European,__
gwa,gbr,gbag1258,Gwari,9.5,7.0,Nupoid,Niger-Congo,Benue-Congo
gwe,wep,west2356,German (Westphalian),52.0,7.5,Germanic,Indo-European,__
gwo,kcg,tyap1238,Gworok,9.91666666667,8.16666666667,Platoid,Niger-Congo,Benue-Congo
gyb,guo,guay1257,Guayabero,2.83333333333,-72.0,Guahiban,Guahiban,__
gyc,jya,jiar1239,Gyarong (Cogtse),31.5,102.0,rGyalrong,Sino-Tibetan,Tibeto-Burman
gzu,gsw,swis1247,German (Zurich),47.4166666667,8.5,Germanic,Indo-European,__
had,hts,hadz1240,Hadza,-3.75,35.1666666667,Hadza,Hadza,__
hai,hdn,haid1248,Haida,53.0,-132.0,Haida,Haida,__
hak,hak,hakk1236,Hakka,25.0,116.0,Chinese,Sino-Tibetan,__
hal,hla,hali1244,Halia,-5.25,154.666666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
ham,hmt,hamt1247,Hamtai,-7.5,146.25,Angan,Trans-New Guinea,__
han,hni,hani1248,Hani,23.0,103.0,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman
har,tmd,haru1245,Haruai,-5.08333333333,144.166666667,Piawi,Piawi,__
hat,had,hata1243,Hatam,-1.0,134.0,Hatam,West Papuan,__
hau,hau,haus1257,Hausa,12.0,7.0,West Chadic,Afro-Asiatic,Chadic
hav,yuf,hava1248,Havasupai,35.75,-112.5,Yuman,Hokan,__
haw,haw,hawa1245,Hawaiian,19.5833333333,-155.5,Oceanic,Austronesian,Eastern Malayo-Polynesian
hay,vay,wayu1241,Hayu,27.25,86.0,Mahakiranti,Sino-Tibetan,Tibeto-Burman
hba,heb,hebr1245,Hebrew (Modern Ashkenazic),31.75,35.1666666667,Semitic,Afro-Asiatic,__
hcr,hat,hait1244,Haitian Creole,19.0,-72.5,Creoles and Pidgins,other,__
hdi,xed,hdii1240,Hdi,11.8666666667,13.7166666667,Biu-Mandara,Afro-Asiatic,Chadic
heb,heb,hebr1245,Hebrew (Modern),31.5,34.8333333333,Semitic,Afro-Asiatic,__
heh,heh,hehe1240,Hehe,-8.0,36.0,Bantoid,Niger-Congo,Benue-Congo
hei,hei,heil1246,Heiltsuk,52.0,-127.5,Northern Wakashan,Wakashan,__
hem,hem,hemb1242,Hemba,-6.25,27.1666666667,Bantoid,Niger-Congo,Benue-Congo
her,her,here1253,Herero,-20.5833333333,19.0,Bantoid,Niger-Congo,Benue-Congo
hhu,wos,hang1263,Hanga Hundi,-3.83333333333,142.916666667,Middle Sepik,Sepik,__
hia,cbd,cari1279,Hianacoto,0.833333333333,-71.0,Cariban,Cariban,__
hid,hid,hida1246,Hidatsa,47.0,-102.5,Siouan,Siouan,__
hil,hil,hili1240,Hiligaynon,10.25,123.0,Greater Central Philippine,Austronesian,__
hin,hin,hind1269,Hindi,25.0,77.0,Indic,Indo-European,__
hix,hix,hixk1239,Hixkaryana,-1.0,-59.0,Cariban,Cariban,__
hks,_15,hong1241,Hong Kong Sign Language,22.5,114.0,Sign Languages,other,__
hlb,hlb,halb1244,Halbi,21.0,81.0,Indic,Indo-European,__
hli,hur,halk1245,Halkomelem (Island),49.2,-123.0,Central Salish,Salishan,__
hln,hal,hala1252,Halang,14.5,107.5,Bahnaric,Austro-Asiatic,Mon-Khmer
hlp,yuf,hava1248,Hualapai,35.5,-113.75,Yuman,Hokan,__
hlu,hur,halk1245,Halkomelem (Upriver),49.25,-121.916666667,Central Salish,Salishan,__
hma,hmr,hmar1241,Hmar,24.1666666667,93.0,Kuki-Chin,Sino-Tibetan,Tibeto-Burman
hmb,hub,huam1247,Huambisa,-4.0,-78.0,Jivaroan,Jivaroan,__
hmd,mww,hmon1333,Hmong Daw,26.0,105.0,Hmong-Mien,Hmong-Mien,__
hmi,hto,mini1256,Huitoto (Minica),-0.333333333333,-74.0,Huitoto,Huitotoan,__
hmo,hnj,huam1250,Hmong Njua,28.0,105.0,Hmong-Mien,Hmong-Mien,__
hmr,amf,hame1242,Hamer,5.0,36.5,South Omotic,Afro-Asiatic,Omotic
hmu,hux,nupo1240,Huitoto (Muinane),-2.41666666667,-71.0,Huitoto,Huitotoan,__
hna,hna,mina1276,Mina,10.3333333333,13.8333333333,Biu-Mandara,Afro-Asiatic,Chadic
hnd,hke,hund1239,Hunde,-1.16666666667,28.8333333333,Bantoid,Niger-Congo,Benue-Congo
hnk,gin,hinu1240,Hinukh,42.1666666667,46.0,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
hnn,hnn,hanu1241,Hanunóo,12.3333333333,121.25,Greater Central Philippine,Austronesian,__
hno,hdn,nort2938,Haida (Northern),54.0,-132.5,Haida,Haida,__
ho,hoc,hooo1248,Ho,22.0,86.0,Munda,Austro-Asiatic,__
hoa,hoa,hoav1238,Hoava,-8.08333333333,157.5,Oceanic,Austronesian,Eastern Malayo-Polynesian
hok,nan,minn1241,Hokkien,25.0,118.0,Chinese,Sino-Tibetan,__
hol,hoo,holo1240,Holoholo,-5.16666666667,29.9166666667,Bantoid,Niger-Congo,Benue-Congo
hop,hop,hopi1249,Hopi,36.0,-110.0,Hopi,Uto-Aztecan,__
hpd,jup,hupd1244,Hup,0.166666666667,-69.25,Nadahup,Nadahup,__
hre,hre,hree1244,Hre,14.6666666667,108.666666667,Bahnaric,Austro-Asiatic,Mon-Khmer
hrr,har,hara1271,Harari,9.25,42.1666666667,Semitic,Afro-Asiatic,__
hrs,hss,hars1241,Harsusi,20.0,56.5,Semitic,Afro-Asiatic,__
hsl,has,hais1244,Haisla,54.0,-128.75,Northern Wakashan,Wakashan,__
htc,hsf,huas1256,Huastec,22.0833333333,-99.3333333333,Mayan,Mayan,__
htt,hto,mini1256,Huitoto,-1.0,-74.0,Huitoto,Huitotoan,__
hua,ygr,yaga1260,Hua,-6.33333333333,145.333333333,Eastern Highlands,Trans-New Guinea,__
huc,huc,huaa1248,=|Hoan,-25.5,25.0,=|Hoan,Khoisan,__
hui,hch,huic1243,Huichol,22.0,-104.0,Corachol,Uto-Aztecan,__
hum,huu,muru1274,Huitoto (Murui),-1.0,-73.5,Huitoto,Huitotoan,__
hun,hun,hung1274,Hungarian,47.0,20.0,Ugric,Uralic,Finno-Ugric
hup,hup,hupa1239,Hupa,41.0833333333,-123.666666667,Athapaskan,Na-Dene,__
hve,huv,sanm1287,Huave (San Mateo del Mar),16.2166666667,-95.0,Huavean,Huavean,__
hwc,hwc,hawa1247,Hawaiian Creole,21.5,-158.0,Creoles and Pidgins,other,__
hwr,hac,gura1251,Hawrami,35.75,45.5,Iranian,Indo-European,__
hya,hay,haya1250,Haya,-2.0,31.5,Bantoid,Niger-Congo,Benue-Congo
hyo,csh,asho1236,Hyow,22.0833333333,92.4166666667,Kuki-Chin,Sino-Tibetan,Tibeto-Burman
hzb,huz,hunz1247,Hunzib,42.1666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
iaa,iai,iaai1238,Iaai,-20.4166666667,166.583333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
iat,ian,iatm1242,Iatmul,-4.25,143.25,Middle Sepik,Sepik,__
iau,tmu,iauu1242,Iau,-3.16666666667,137.5,Lakes Plain,Lakes Plain,__
iba,iba,iban1264,Iban,2.0,112.0,Malayo-Sumbawan,Austronesian,__
ibi,ibb,ibib1240,Ibibio,5.25,7.83333333333,Cross River,Niger-Congo,Benue-Congo
ibn,ibg,iban1267,Ibanag,17.5,121.666666667,Northern Luzon,Austronesian,__
ice,isl,icel1247,Icelandic,65.0,-17.0,Germanic,Indo-European,__
ics,icl,icel1236,Icelandic Sign Language,65.0,-18.0,Sign Languages,other,__
idn,viv,idun1242,Iduna,-9.33333333333,150.25,Oceanic,Austronesian,Eastern Malayo-Polynesian
ido,idu,idom1241,Idoma,6.91666666667,7.5,Idomoid,Niger-Congo,Benue-Congo
idu,clk,idum1241,Idu,29.3333333333,95.8333333333,Digaroan,Sino-Tibetan,Tibeto-Burman
ifi,ita,ital1282,Italian (Fiorentino),43.75,11.25,Romance,Indo-European,__
ifm,ifm,teke1274,Ifumu,-3.66666666667,15.3333333333,Bantoid,Niger-Congo,Benue-Congo
ifu,ifb,bata1298,Ifugao (Batad),16.8333333333,121.083333333,Northern Luzon,Austronesian,__
iga,inb,inga1252,Inga,1.0,-77.0,Quechuan,Quechuan,__
igb,ibo,nucl1417,Igbo,6.0,7.33333333333,Igboid,Niger-Congo,Benue-Congo
ige,ige,iged1239,Igede,7.0,8.16666666667,Idomoid,Niger-Congo,Benue-Congo
ign,ign,igna1246,Ignaciano,-15.1666666667,-65.4166666667,Bolivia-Parana,Arawakan,__
igs,tbi,gaam1241,Ingessana,11.5,34.0,Eastern Jebel,Nilo-Saharan,Eastern Sudanic
iha,ihp,ihaa1241,Iha,-2.91666666667,132.25,West Bomberai,West Bomberai,__
iir,pmy,papu1250,Indonesian (Papuan),-2.5,140.666666667,Malayo-Sumbawan,Austronesian,__
ijo,ijc,izon1238,Ijo (Kolokuma),4.91666666667,5.66666666667,Ijoid,Niger-Congo,__
ik,ikx,ikkk1242,Ik,3.75,34.1666666667,Kuliak,Nilo-Saharan,Eastern Sudanic
ika,arh,arhu1242,Ika,10.6666666667,-73.75,Aruak,Chibchan,__
ila,ilb,ilaa1246,Ila,-15.5833333333,26.5,Bantoid,Niger-Congo,Benue-Congo
ill,mia,miam1252,Illinois,40.0,-90.0,Algonquian,Algic,__
ilo,ilo,ilok1237,Ilocano,16.0,121.0,Northern Luzon,Austronesian,__
imo,imn,imon1245,Imonda,-3.33333333333,141.166666667,Border,Border,__
ina,szp,suab1238,Inanwatan,-2.08333333333,132.083333333,South Bird's Head,Marind,__
ind,ind,indo1316,Indonesian,0.0,106.0,Malayo-Sumbawan,Austronesian,__
ing,inh,ingu1240,Ingush,43.1666666667,45.0833333333,Nakh,Nakh-Daghestanian,__
inj,ind,indo1316,Indonesian (Jakarta),-6.16666666667,106.75,Malayo-Sumbawan,Austronesian,__
